DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1005.6,21.1,25.1,18.3,17.4,80,61,5.5,10,25,14,31,7.0,0.0,,10,8,ST,1
2,1003.5,23.1,27.0,20.8,16.8,69,49,5.5,16,17,21,19,6.7,,,400,6,SC,20
3,1000.3,22.3,25.3,19.0,18.5,79,66,6.6,11,16,14,22,7.2,0.0,,40,4,SC,20
4,1003.7,22.8,24.6,21.3,19.8,84,76,7.5,12,24,16,24,6.5,,,20,9,FG,1
5,1005.4,22.4,23.6,21.3,20.0,86,81,6.3,12,25,16,20,7.9,87.0,,40,7,ST,1
6,998.7,21.8,23.2,20.9,18.7,82,72,9.3,17,36,24,12,7.5,146.5,,100,6,SC,20
7,1003.9,24.1,29.3,19.6,15.8,61,42,6.3,16,29,21,30,1.7,,,,6,AC,120
8,1006.4,23.5,28.1,20.1,17.6,71,48,5.5,14,29,21,30,0.9,,,600,,,
9,1006.7,24.0,30.4,20.0,18.0,71,48,4.3,14,29,16,31,5.5,,,20,8,ST,1
10,1002.3,23.7,28.1,20.9,19.0,75,59,8.0,17,23,22,15,6.3,27.0,,110,5,SC,20
11,995.8,22.3,25.1,20.6,19.2,82,73,10.0,20,14,27,16,7.1,17.0,,110,7,ST,3
12,1000.0,23.6,27.7,20.1,18.8,75,58,5.8,9,19,12,24,6.9,1.5,,250,7,ST,3
13,999.8,25.4,28.8,22.5,20.6,75,59,5.9,13,19,16,20,6.6,17.5,,60,7,ST,7
14,1001.3,22.7,24.5,21.6,18.8,79,72,11.1,16,6,20,7,7.7,0.5,,400,7,ST,6
15,1001.4,19.8,21.8,18.5,17.3,86,80,12.0,16,4,23,6,8.0,41.0,,250,5,SC,20
16,1009.4,21.2,23.7,18.5,17.0,77,66,3.3,7,31,10,33,6.5,0.5,,250,5,SC,25
17,1012.0,24.3,28.0,20.5,19.3,75,62,6.1,13,18,17,18,6.4,0.0,,250,5,AC,60
18,1009.1,25.7,28.8,24.0,21.4,78,63,6.2,15,15,18,16,7.4,3.5,,400,5,SC,30
19,1004.2,23.5,25.8,21.8,20.4,83,73,12.8,20,36,29,4,6.8,69.0,,50,7,ST,2
20,1009.3,24.8,29.3,22.2,19.9,75,57,5.0,9,31,13,27,4.7,0.0,,600,6,ST,5
21,1010.2,25.8,30.4,22.6,20.1,71,56,3.9,8,31,11,34,3.7,,,400,4,SC,25
22,1008.6,26.3,29.9,23.3,21.2,74,60,7.9,16,23,22,24,6.5,7.0,,200,5,SC,25
23,1009.2,27.2,30.5,25.3,21.9,73,65,11.5,20,20,26,22,7.1,,,800,6,SC,20
24,1013.4,26.5,29.7,24.6,21.7,76,65,6.8,12,19,16,22,6.1,,,,6,SC,25
25,1014.2,26.3,30.5,23.6,21.3,75,56,4.7,9,30,13,30,5.2,,,40,6,SC,20
26,1011.1,25.8,30.2,22.0,20.6,75,56,4.3,9,31,13,34,3.7,,,10,6,ST,1
27,1010.0,26.4,30.3,23.2,21.5,75,58,6.7,12,29,17,25,3.4,,,10,7,ST,2
28,1010.3,27.1,30.9,23.8,21.9,74,54,5.0,9,16,13,19,4.3,,,20,6,ST,2
29,1006.7,28.2,31.8,24.6,22.6,73,57,11.5,17,21,25,22,4.2,,,500,6,CI,160
30,1005.9,27.2,30.9,23.4,22.6,77,64,9.6,17,27,22,28,6.0,5.5,,300,5,ST,10
31,1007.9,27.6,31.1,25.0,22.3,73,62,4.5,8,31,11,30,5.5,,,700,4,SC,25
