DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1006.7,26.7,29.0,25.1,24.0,85,77,9.2,15,22,24,23,7.0,0.0,,110,5,ST,2
2,1006.1,26.2,30.0,23.9,22.2,81,55,6.4,11,25,25,30,4.4,0.3,,10,5,ST,1
3,1006.0,26.3,30.5,22.4,16.9,59,31,3.3,7,31,19,29,2.4,,,,6,AC,120
4,1008.0,28.1,32.0,24.5,22.5,72,58,5.9,12,24,22,27,6.1,,,230,6,ST,12
5,1011.4,29.2,32.9,26.2,24.6,77,61,8.7,18,23,37,24,3.7,,,120,4,SC,60
6,1014.6,27.2,29.7,25.7,24.9,88,76,8.6,17,23,30,24,6.2,15.6,,130,3,ST,10
7,1013.8,26.2,28.4,24.8,24.4,90,82,4.8,10,22,25,10,7.8,10.3,,300,7,ST,15
8,1010.9,27.4,31.2,24.8,23.0,78,57,5.5,10,23,18,24,4.6,,,800,7,AC,110
9,1008.8,28.5,32.4,25.3,22.1,69,50,5.0,10,31,21,8,3.8,,,700,4,SC,60
10,1007.5,27.5,31.2,25.4,23.7,80,66,5.8,16,18,23,18,6.4,7.5,,160,6,SC,25
11,1001.7,28.2,33.1,25.5,23.6,77,60,10.8,15,5,28,36,5.3,,,,7,AS,80
12,1004.4,25.1,26.3,23.5,22.0,83,68,6.3,10,29,20,24,7.5,22.0,,150,5,CB,20
13,1001.7,26.4,29.7,23.5,24.6,90,77,5.2,12,8,22,1,6.3,60.2,,10,5,ST,3
14,1003.1,26.2,29.3,24.2,24.9,93,82,11.0,28,20,39,21,7.8,16.1,,5,9,FG,2
15,1004.9,26.4,28.6,24.7,24.0,87,75,8.0,24,21,33,22,6.5,14.0,,60,6,SC,20
16,1009.5,24.9,26.3,23.2,21.6,82,65,4.5,12,22,19,23,8.0,0.0,,130,6,ST,4
17,1011.3,25.7,30.6,21.6,20.2,74,36,4.7,9,30,21,33,3.0,,,10,9,FG,1
18,1015.0,26.7,31.1,22.1,23.5,83,70,6.9,13,20,21,25,4.4,5.0,,170,5,SC,20
19,1018.5,28.5,32.4,25.8,24.1,78,58,5.9,12,24,20,35,2.2,,,320,,,
20,1018.4,28.3,31.4,26.3,24.2,79,67,4.7,9,29,27,20,3.2,,,900,6,SC,35
21,1016.3,28.1,31.2,25.7,24.0,79,63,4.1,8,31,21,36,1.8,,,500,,,
22,1013.7,28.3,31.9,25.9,24.2,79,59,8.7,16,22,31,24,4.7,,,290,4,SC,25
23,1012.1,26.2,28.7,23.5,24.2,89,79,8.9,15,23,26,25,7.0,16.6,,250,6,SC,20
24,1013.3,24.4,26.5,22.3,21.5,84,68,3.7,12,16,15,25,8.0,3.1,,700,4,ST,18
25,1012.7,21.4,23.6,19.3,20.0,92,83,10.8,20,5,23,5,8.0,42.7,,80,6,SC,20
26,1012.3,25.5,29.2,21.2,22.9,86,75,8.6,13,13,19,15,7.5,3.9,,400,6,SC,20
27,1013.5,26.8,31.3,24.7,23.3,82,64,8.8,17,21,27,22,6.9,10.7,,100,6,SC,25
28,1010.3,25.8,27.3,23.8,23.4,87,74,7.9,15,13,23,15,7.5,38.5,,120,6,SC,20
29,1009.3,24.2,26.4,23.0,23.6,96,87,7.7,13,16,19,29,7.7,54.2,,140,6,SC,20
30,1010.1,25.5,28.9,23.5,22.1,83,59,4.5,10,30,22,31,4.7,0.6,,210,4,SC,20
31,1012.1,24.6,26.6,23.0,22.6,89,74,3.4,10,17,15,22,7.0,6.4,,250,4,CU,20
