DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1006.5,26.7,30.8,22.5,21.1,73,54,4.0,8,30,17,26,3.5,,,20,5,ST,1
2,1010.1,27.8,31.1,25.7,22.9,75,65,6.0,11,23,20,25,5.5,,,120,6,SC,20
3,1009.0,27.8,31.0,25.9,23.8,79,67,9.9,16,24,24,25,5.1,,,600,6,SC,20
4,1004.6,27.6,30.9,24.7,24.3,83,61,6.8,11,27,17,29,7.0,0.0,,5,5,ST,1
5,1003.0,26.9,30.2,24.6,23.8,83,70,9.5,16,23,27,24,6.6,9.5,,5,5,ST,1
6,1005.6,25.6,27.2,22.3,23.1,86,79,9.3,21,5,31,7,6.5,34.5,,50,6,CB,10
7,1006.7,27.7,32.3,24.3,23.8,80,67,7.1,13,15,16,18,6.8,,,450,6,SC,30
8,1004.4,28.3,32.5,25.4,24.3,80,67,10.9,17,22,27,23,5.4,,,350,6,SC,20
9,1004.2,28.5,30.5,27.5,25.2,83,77,9.0,15,20,22,24,7.0,,,110,5,ST,4
10,1008.2,26.5,28.2,24.4,23.9,86,71,5.6,14,25,22,29,6.3,2.5,,5,9,FG,1
11,1010.9,27.7,32.2,23.1,23.5,79,60,4.0,8,31,16,31,2.1,,,70,,,
12,1010.9,27.7,31.1,25.3,23.8,80,62,6.4,11,15,21,26,3.0,,,5,7,ST,1
13,1010.6,27.7,31.2,25.0,23.2,77,60,7.2,12,18,20,26,2.0,,,450,6,SC,30
14,1010.6,27.8,31.2,25.0,23.0,76,55,6.3,10,24,21,27,2.3,,,600,,,
15,1009.4,27.9,31.2,24.9,24.1,80,68,7.6,15,25,25,25,5.6,7.5,,130,4,CU,25
16,1006.6,28.0,31.1,26.1,23.8,78,66,9.5,17,23,25,25,5.8,0.0,,700,4,SC,20
17,1004.7,28.2,31.3,26.7,23.2,74,63,10.2,16,23,25,24,5.5,,,700,5,SC,20
18,1005.1,27.9,30.6,26.3,23.7,78,69,7.7,14,24,21,24,6.9,0.5,,400,5,SC,25
19,1006.4,27.3,30.4,24.8,21.4,71,54,5.7,11,30,20,29,3.1,0.0,,400,5,SC,30
20,1007.4,26.5,31.8,22.6,20.5,70,52,4.9,11,30,14,31,1.5,,,600,3,SC,30
21,1008.1,27.3,32.0,23.1,21.0,70,46,5.6,9,16,16,34,0.9,,,600,,,
22,1009.2,28.5,32.1,25.2,20.2,63,43,4.5,9,31,16,29,5.0,,,400,6,SC,30
23,1008.3,25.2,27.7,22.2,22.5,86,60,4.3,13,32,18,34,7.0,58.5,,100,5,ST,15
24,1007.0,26.2,30.2,21.6,21.0,75,47,4.9,10,29,15,32,2.4,,,700,,,
25,1005.7,26.3,30.7,22.4,20.3,70,57,4.9,10,6,13,9,3.6,,,,5,AC,120
26,1005.0,26.6,30.1,23.0,20.0,68,50,6.4,13,29,22,34,0.6,,,,,,
27,1007.7,25.5,28.4,22.6,20.0,72,61,5.5,8,26,19,5,4.5,,,600,5,SC,25
28,1007.0,26.1,29.0,23.0,20.9,74,59,6.5,13,18,21,24,4.3,,,250,6,SC,25
29,999.0,25.8,27.5,23.9,23.6,88,77,12.5,28,23,40,24,7.0,39.0,,140,4,CB,10
30,1003.0,24.5,27.2,22.0,20.1,77,60,8.5,14,27,20,30,3.8,,,800,6,CU,20
31,1006.6,24.0,27.3,21.3,18.1,71,54,6.3,11,33,17,33,2.7,,,,5,SC,30
