DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1008.4,16.8,20.2,14.4,13.6,82,69,10.0,19,17,25,18,5.5,19.5,,130,5,ST,4
2,1012.6,15.5,20.4,12.3,12.5,83,68,5.5,12,30,21,30,5.2,,,10,6,ST,1
3,1010.4,15.1,19.8,11.7,12.4,85,65,7.5,15,25,22,26,6.5,0.0,,10,9,FG,1
4,1009.3,16.4,20.6,14.7,14.1,87,70,6.3,11,23,20,36,6.7,0.5,,40,8,ST,2
5,1009.3,16.8,22.6,14.3,12.9,78,60,5.3,13,29,18,35,3.5,,,160,8,ST,3
6,1008.2,16.0,21.1,11.3,10.9,74,43,4.4,10,30,21,33,5.7,,,15,6,ST,1
7,1003.9,17.4,23.5,12.6,10.9,69,30,3.9,11,30,20,4,5.2,0.0,,600,7,AS,80
8,1004.1,18.8,24.6,14.5,13.8,74,51,8.5,15,21,24,23,5.0,0.0,,200,5,SC,25
9,1005.5,18.0,21.1,16.0,14.7,81,66,6.1,13,17,21,24,6.5,0.0,,80,5,ST,2
10,1005.0,19.5,21.9,15.9,15.8,79,70,4.5,9,5,13,6,6.9,0.0,,60,7,ST,2
11,1004.5,20.7,23.5,17.0,13.0,62,45,7.1,13,30,27,1,2.0,,,430,8,AS,110
12,1004.9,19.3,24.9,15.3,13.5,70,51,5.7,13,30,22,27,4.9,0.0,,150,5,ST,2
13,1006.3,17.8,23.0,14.4,13.9,78,62,5.6,12,29,24,25,3.7,,,30,7,ST,1
14,1009.2,17.7,23.7,13.3,13.5,78,55,5.7,12,30,21,1,2.9,,,15,5,ST,5
15,1008.7,20.9,28.2,15.3,13.3,64,40,5.4,12,29,23,36,2.1,,,700,5,CI,180
16,1007.8,23.0,29.6,16.0,11.8,52,30,4.7,12,33,18,32,2.2,,,700,,,
17,1009.0,21.6,27.1,18.2,13.3,61,36,7.5,13,28,21,23,5.6,0.0,,800,5,SC,30
18,1007.6,21.4,26.5,17.8,14.5,67,40,5.8,12,30,23,34,3.9,,,600,6,AS,110
19,1007.6,22.8,28.9,17.4,14.8,63,39,5.0,11,30,22,4,0.0,,,350,,,
20,1007.6,22.9,28.8,18.5,15.1,63,39,6.3,15,29,20,33,0.3,,,500,,,
21,1010.3,20.8,26.1,17.0,16.2,76,55,4.9,12,23,22,35,2.9,,,10,7,ST,1
22,1005.5,21.5,25.1,19.5,18.9,86,73,5.9,12,21,21,23,6.9,9.0,,30,6,ST,1
23,999.4,20.6,22.1,18.3,19.2,91,88,13.1,24,21,34,22,8.0,31.5,,30,8,ST,1
24,1004.0,19.6,21.9,17.4,17.0,85,72,5.9,13,22,21,26,8.0,4.5,,110,6,SC,18
25,1009.6,19.1,20.9,17.8,15.8,81,72,10.0,16,9,25,11,8.0,39.0,,230,6,SC,20
26,999.7,20.1,22.3,18.2,16.3,79,68,15.9,26,7,39,9,8.0,29.5,,120,5,SC,20
27,1002.8,18.6,20.1,16.8,16.1,86,80,14.8,26,19,35,21,7.4,15.0,,100,5,SC,20
28,1010.0,22.1,27.9,17.1,17.0,74,51,5.5,11,17,17,23,5.7,1.5,,100,7,ST,5
29,1010.3,20.8,21.9,19.8,19.0,90,85,7.5,18,14,22,15,8.0,139.5,,70,6,ST,10
30,1009.1,23.2,26.7,19.8,20.7,86,74,8.3,17,22,26,23,7.7,14.0,,30,5,ST,2
