DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1005.9,23.2,27.2,20.9,19.9,82,72,4.7,10,30,21,6,5.8,0.0,,250,7,ST,15
2,1003.2,22.9,27.0,20.1,20.7,88,74,4.4,9,18,18,26,7.2,0.0,,10,5,ST,1
3,997.8,21.4,23.1,19.4,20.0,92,90,6.1,14,24,22,24,8.0,102.0,,10,8,ST,1
4,1001.1,21.0,25.8,17.8,16.9,78,60,5.0,13,26,22,3,2.3,,,10,9,FG,1
5,1003.8,22.1,27.5,18.5,16.7,73,49,4.9,13,23,20,26,2.1,,,320,5,CI,200
6,1000.7,23.0,27.8,18.8,16.5,68,48,4.1,9,30,18,31,6.4,,,220,5,AC,120
7,998.9,21.4,23.6,19.8,18.2,83,67,5.5,15,16,21,25,8.0,58.0,,50,6,ST,1
8,1004.3,21.1,23.8,18.5,18.3,84,71,4.2,8,22,22,25,7.6,0.0,,10,9,FG,1
9,1007.9,23.5,28.0,21.4,20.2,82,66,4.0,9,29,17,28,6.3,2.5,,20,3,ST,10
10,1011.1,23.7,28.3,21.4,20.6,83,67,7.6,20,16,27,18,7.4,5.0,,15,8,ST,2
11,1012.4,21.4,22.0,20.9,19.3,87,82,6.2,12,15,17,16,7.8,21.0,,280,5,SC,20
12,1010.9,22.7,24.9,20.9,20.6,88,81,7.3,16,19,26,20,8.0,100.5,,160,6,ST,15
13,1007.9,23.6,25.5,22.3,21.6,88,84,12.3,22,17,28,18,8.0,68.5,,90,5,SC,20
14,1008.6,23.2,25.7,20.7,21.1,88,82,8.6,18,19,25,21,8.0,21.5,,220,5,ST,7
15,1008.4,21.9,24.6,20.3,20.1,89,86,7.8,18,19,24,20,8.0,16.5,,150,6,ST,18
16,1008.3,22.1,24.5,20.3,20.4,90,88,4.2,11,6,14,6,8.0,63.5,,100,6,SC,20
17,1006.7,23.3,26.4,20.6,20.8,86,79,5.9,13,24,26,25,7.5,7.5,,30,2,CB,20
18,1003.9,27.5,32.5,23.1,21.7,72,55,7.0,11,5,14,6,6.1,,,,3,AC,100
19,999.4,28.1,34.6,23.1,18.5,58,38,11.3,17,7,26,10,1.3,,,,,,
20,1002.2,26.8,31.8,23.3,17.3,57,41,10.4,14,4,19,6,2.1,,,,5,AC,120
21,1005.1,25.6,30.5,21.5,17.4,62,38,7.3,12,5,20,5,3.3,,,,6,SC,20
22,1007.0,23.4,25.0,21.0,19.5,79,62,5.3,9,24,17,31,7.5,0.0,,80,6,ST,3
23,1007.6,24.3,28.7,22.2,20.9,82,64,4.7,10,31,22,35,4.8,,,10,7,ST,2
24,1007.7,23.8,27.5,21.7,21.2,85,72,6.6,12,16,18,24,7.3,90.0,,10,6,ST,2
25,1009.2,25.6,29.8,23.3,21.0,76,58,5.4,10,34,17,34,7.0,0.0,,220,7,ST,4
26,1008.2,25.5,28.8,22.7,21.2,77,66,10.7,18,6,26,9,7.5,7.0,,160,6,SC,20
27,1008.2,24.6,27.3,22.3,22.5,88,82,8.7,22,25,33,25,8.0,176.5,,70,3,CB,15
28,1008.4,24.9,26.9,23.5,22.3,86,77,12.5,23,20,32,22,8.0,65.0,,70,6,ST,16
29,1007.7,25.0,28.7,23.0,22.1,85,70,4.6,8,30,23,5,5.9,5.0,,10,9,FG,1
30,1005.7,25.8,29.6,23.2,22.3,81,69,5.2,10,23,19,25,6.5,0.0,,20,6,ST,10
31,1004.0,24.1,26.3,22.7,22.1,88,82,8.0,17,16,23,20,7.7,115.0,,110,4,SC,20
